Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
49,1.0,0.95,1.0,2.0,1.0,1.0,37.76864,-122.13648,2,1.0,1.0,2.0,2,120,441,4.98,0.0,1.6661060559,11.9166666675,0.0,4,5,0,0,0,0,2343.1881699098262,80.68647540983606,12.38,53.0,2.6013820489159523,2.311448272188782,1,0,0,11.131506849315068,39.6172778734925,OAK_Entire home/apt
50,1.0,0.86,1.0,1.0,1.0,1.0,37.839237213134766,-122.27417755126952,2,1.0,1.0,1.0,5,90,58,4.78,0.0,0.3340309401,16.0,1.0,3,6,0,0,0,0,13184.407404540309,108.31062670299728,12.37,45.5,1.586648450104158,2.702535554640289,1,0,0,12.32054794520548,4.707582832999778,OAK_Entire home/apt
51,1.0,0.0,0.0,1.0,1.0,1.0,37.79345,-122.18118,4,1.0,2.0,2.0,3,365,46,4.96,0.0,0.4243617377999999,14.555555556666668,0.0,4,6,0,0,0,0,7307.444860784054,127.70074169622704,12.64,20.25,2.196855535879265,2.2760426052591844,1,0,0,12.32876712328767,3.7311111111111113,OAK_Entire home/apt
52,1.0,0.91,0.0,1.0,1.0,1.0,37.84274,-122.25274,2,1.0,1.0,1.0,3,30,452,4.89,0.0,0.4288957101,15.7916666675,0.0,3,5,0,0,0,0,13352.896438774616,176.00838135149294,13.18,58.0,1.7162143573197517,2.6934002409347704,1,0,0,12.273972602739724,36.82589285714286,OAK_Entire home/apt
53,1.0,0.92,1.0,2.0,1.0,0.0,37.79135,-122.18273,6,2.5,3.0,4.0,2,30,26,4.85,0.0,0.4243617377999999,14.555555556666668,0.0,4,9,0,0,0,0,7307.444860784054,127.70074169622704,12.3,53.666666666666664,2.186231497306912,2.248093240325993,1,0,0,4.2246575342465755,6.154345006485084,OAK_Entire home/apt
54,1.0,0.53,1.0,2.0,1.0,1.0,37.84167,-122.28449,2,1.0,1.0,1.0,2,7,428,4.94,0.0,0.2797804152,16.166666666666668,0.0,2,5,0,0,0,0,16380.703405289676,62.62273619899629,14.59,31.0,1.6698204666368932,2.740680998258854,1,0,0,12.156164383561643,35.20847419427541,OAK_Entire home/apt
56,1.0,0.96,1.0,8.0,1.0,1.0,37.83837,-122.28464,2,1.0,1.0,1.0,3,730,241,4.95,0.0,0.1576608462,15.25,0.0,4,5,0,0,0,0,17455.189835204626,62.13662790697674,12.72,78.5,1.6020691142543564,2.718989264924477,1,0,0,12.169863013698633,19.803016659162537,OAK_Entire home/apt
57,0.0,0.0,0.0,2.0,1.0,1.0,37.84902,-122.24184,1,1.0,1.0,1.0,14,1125,11,4.64,0.0,0.7015541247,13.611111113333331,3.0,1,2,0,1,0,0,5003.177768359574,57.83475783475783,12.32,80.0,1.8860309167778773,2.728599405083186,1,0,0,12.202739726027398,0.9014369106421194,OAK_Private room
58,1.0,0.96,1.0,1.0,1.0,1.0,37.83123,-122.25309,2,2.0,1.0,1.0,2,1125,174,4.93,0.0,0.2197993941,17.416666665,2.0,2,6,0,1,0,0,14353.997711952748,174.6434231378764,12.22,27.5,1.477604885972332,2.605533660863607,1,0,0,12.167123287671233,14.300833145687909,OAK_Private room
59,1.0,0.57,0.0,2.0,1.0,1.0,37.8038,-122.22456,2,1.0,2.0,2.0,7,1125,48,4.83,0.0,0.3904181424,15.708333335,0.0,4,4,0,0,0,0,12289.387912419925,95.66486035848273,12.92,74.5,1.6278335288347172,2.3193882155856267,1,0,0,12.07123287671233,3.976395823876531,OAK_Entire home/apt
60,0.75,0.5,0.0,1.0,1.0,1.0,37.80127,-122.27535,3,0.0,1.0,0.0,5,365,10,5.0,0.0,0.1339195572,19.0,2.0,3,7,0,0,0,0,16233.625957658109,347.2861085556578,12.2,31.666666666666668,0.4086901453260856,2.4062963306793805,1,0,0,4.049315068493151,2.469553450608931,OAK_Entire home/apt
61,1.0,0.93,0.0,2.0,1.0,1.0,37.84068,-122.21211,5,1.0,2.0,3.0,1,1125,687,4.78,1.0,1.6033509063,9.277777777666666,0.0,4,5,0,0,0,0,3528.235757856945,43.83949089623476,12.17,21.0,2.0244779536655395,2.65932065839861,1,0,0,11.942465753424658,57.52580867171369,OAK_Entire home/apt
62,1.0,1.0,0.0,2.0,1.0,1.0,37.83197,-122.26973,2,0.0,1.0,0.0,3,70,209,4.77,0.0,0.4436748459,14.805555556666668,1.0,4,6,0,0,0,0,14715.731712839932,136.77439117782205,12.16,50.75,1.404279998840237,2.640870662585233,1,0,0,11.665753424657536,17.915688116486614,OAK_Entire home/apt
63,-1.0,0.5,0.0,1.0,1.0,1.0,37.80413,-122.21065,2,1.0,1.0,1.0,10,60,33,4.97,0.0,0.2426275566,14.083333335,-1.0,4,6,0,0,0,0,10806.68674549064,120.13729977116704,12.15,75.0,1.8428468429863096,2.3266628202232336,1,0,0,11.936986301369863,2.764516869405554,OAK_Entire home/apt
64,1.0,0.99,1.0,7.0,1.0,0.0,37.85769,-122.23717,8,2.0,2.0,2.0,2,730,289,4.87,0.0,2.6817946155,10.16666667,0.0,2,6,0,0,0,0,1153.7050533689537,31.351001939237232,12.27,19.125,2.0331644328733733,2.786476431063936,1,0,0,12.10958904109589,23.865384615384613,OAK_Entire home/apt
65,0.9,0.55,1.0,31.0,1.0,1.0,37.81702,-122.23675,2,1.0,1.0,2.0,30,1125,20,4.83,0.0,0.2519951148,16.166666665,1.0,2,4,0,0,0,0,15857.450265143,208.45845845845844,12.32,125.0,1.4662582899050842,2.4617457988860627,1,0,0,11.805479452054794,1.6941285681132514,OAK_Entire home/apt
66,0.94,0.99,1.0,15.0,1.0,1.0,37.82953,-122.27458,2,1.0,1.0,1.0,2,60,264,4.81,0.0,0.4436748459,14.805555556666668,0.0,4,5,0,0,0,0,14715.731712839932,136.77439117782205,13.01,43.0,1.3389525078308575,2.6332786225521945,1,0,0,12.065753424657537,21.88010899182561,OAK_Entire home/apt
67,1.0,0.98,1.0,2.0,1.0,1.0,37.81646,-122.25047,2,1.0,1.0,1.0,1,1125,221,4.81,0.0,0.19038591,16.222222220000003,0.0,3,5,0,0,0,0,20295.61956554453,74.53416149068323,12.1,69.5,1.18172257639168,2.475497798769515,1,0,0,11.854794520547944,18.64224636006471,OAK_Entire home/apt
68,1.0,0.75,1.0,3.0,1.0,1.0,37.75141,-122.18616,1,2.0,1.0,1.0,1,28,234,4.85,0.0,0.3230155071,14.666666666666666,1.0,3,6,0,1,0,0,13937.411365845848,135.93958240781876,12.26,63.0,2.3523631944239556,1.7085256357372534,1,0,0,11.169863013698633,20.94922737306843,OAK_Private room
69,1.0,0.99,1.0,4.0,1.0,0.0,37.85281,-122.25686,2,1.0,1.0,1.0,2,14,848,4.89,0.0,0.2765008818,17.61111111,0.0,4,5,0,1,0,0,15895.066848933284,76.45051194539249,12.42,44.5,1.876630498808147,2.7696047178355903,1,0,0,11.947945205479453,70.97454712221968,OAK_Private room
70,1.0,0.95,1.0,1.0,1.0,1.0,37.80495,-122.27605,1,1.0,1.0,1.0,2,90,465,4.91,0.0,0.1339195572,19.0,0.0,3,6,0,1,0,0,16233.625957658109,347.2861085556578,12.67,69.0,0.3620928424151873,2.440869522258755,1,0,0,11.942465753424658,38.936682725395734,OAK_Private room
71,1.0,0.96,1.0,8.0,1.0,1.0,37.83807,-122.28293,2,1.0,1.0,1.0,3,1125,20,4.8,0.0,0.1576608462,15.25,0.0,4,5,0,0,0,0,17455.189835204626,62.13662790697674,12.72,78.5,1.5869488517039425,2.7130651817785902,1,0,0,11.904109589041097,1.680092059838895,OAK_Entire home/apt
72,0.9,0.55,1.0,31.0,1.0,1.0,37.81618,-122.23746,2,1.0,0.0,1.0,14,500,55,4.75,0.0,0.2519951148,16.166666665,1.0,3,6,0,0,0,0,15857.450265143,208.45845845845844,12.32,72.5,1.4439843903636758,2.4545384529144134,1,0,0,12.0,4.583333333333333,OAK_Entire home/apt
73,1.0,0.55,0.0,1.0,1.0,1.0,37.80343,-122.27158,2,0.0,1.0,0.0,7,90,7,4.71,0.0,0.1360593234,16.083333335,1.0,2,6,0,0,0,1,22967.92253488452,510.08,14.56,75.0,0.1047208122054205,2.411876991381658,1,0,0,1.7232876712328766,4.0620031796502385,OAK_Entire home/apt
74,1.0,0.5,0.0,5.0,1.0,1.0,37.79368,-122.27633,12,1.0,3.0,5.0,2,1125,20,4.5,0.0,0.1909426662,19.66666667,1.0,4,5,0,0,0,1,5436.18679186538,1580.9248554913297,11.95,22.25,0.8207063200999687,2.3421116564963063,1,0,0,11.736986301369862,1.7040149393090571,OAK_Entire home/apt
75,1.0,-1.0,0.0,1.0,1.0,1.0,37.82427,-122.25347,1,1.0,2.0,1.0,3,1125,26,4.81,0.0,0.1416932946,13.16666667,2.0,2,3,0,1,0,0,21059.57101515515,176.27345844504023,12.93,67.0,1.3093665854624357,2.548975413306902,1,0,0,11.841095890410958,2.1957427117075428,OAK_Private room
76,1.0,0.55,1.0,1.0,1.0,1.0,37.85001,-122.26743,1,1.0,1.0,1.0,3,30,216,4.9,0.0,0.2283488064,14.833333336666668,2.0,1,3,0,1,0,0,16737.551906905872,68.02721088435375,11.92,57.0,1.8060737149460553,2.7648495412541467,1,0,0,11.86027397260274,18.212058212058217,OAK_Private room
77,1.0,1.0,1.0,1.0,1.0,1.0,37.8271117071771,-122.26276869854117,2,1.0,1.0,1.0,2,30,390,4.99,0.0,0.3371934852,16.5416666675,0.0,4,3,0,1,0,0,16687.7482720713,361.6491913986138,12.22,36.0,1.2904946327639395,2.589272793954937,1,0,0,6.895890410958904,56.5554231227652,OAK_Private room
78,-1.0,0.0,0.0,1.0,1.0,1.0,37.83207,-122.18558,4,1.0,1.0,1.0,3,1125,133,4.75,0.0,1.8833618232,7.91666666575,-1.0,4,2,0,0,0,0,2531.1121534259632,62.30333543108873,11.99,16.75,2.2107611849831663,2.6167406059351888,1,0,0,11.443835616438356,11.62197749581039,OAK_Entire home/apt
79,1.0,0.74,0.0,7.0,1.0,1.0,37.83624,-122.27216,6,2.0,3.0,3.0,3,20,114,4.8,0.0,0.4436748459,14.805555556666668,0.0,4,5,0,0,0,0,14715.731712839932,136.77439117782205,11.92,45.833333333333336,1.5142545836754744,2.677186910908769,1,0,0,11.827397260273973,9.638637943015985,OAK_Entire home/apt
80,1.0,0.98,1.0,2.0,1.0,1.0,37.80668,-122.2162,2,1.0,1.0,1.0,2,1125,327,4.87,0.0,0.3904181424,15.708333335,0.0,2,6,0,0,0,0,12289.387912419925,95.66486035848273,13.16,32.5,1.763639567578592,2.350666190243402,1,0,0,11.07945205479452,29.514094955489615,OAK_Entire home/apt
81,1.0,0.5,0.0,1.0,1.0,1.0,37.8175,-122.19134,2,1.0,1.0,1.0,10,90,122,4.93,0.0,1.8833618232,7.91666666575,1.0,4,4,0,0,0,0,2531.1121534259632,62.30333543108873,11.84,72.5,2.0993596790197904,2.4846417573837645,1,0,0,11.810958904109588,10.329389932730226,OAK_Entire home/apt
82,1.0,1.0,0.0,1.0,1.0,1.0,37.84916,-122.25684,2,1.0,1.0,1.0,5,731,78,4.78,0.0,0.2765008818,17.61111111,1.0,1,3,0,0,0,0,15895.066848933284,76.45051194539249,12.55,49.0,1.8144059295299937,2.7444179510263504,1,0,0,11.747945205479452,6.639458955223881,OAK_Entire home/apt
83,1.0,1.0,1.0,1.0,1.0,1.0,37.83966,-122.25546,2,1.0,1.0,1.0,2,21,548,4.97,0.0,0.4288957101,15.7916666675,0.0,4,6,0,0,0,0,13352.896438774616,176.00838135149294,15.13,97.5,1.6408974427584109,2.674052677194881,1,0,0,11.68219178082192,46.90900562851782,OAK_Entire home/apt
84,1.0,0.0,0.0,1.0,1.0,0.0,37.80807,-122.21471,5,1.0,2.0,2.0,2,1125,18,4.94,0.0,0.2426275566,14.083333335,1.0,4,5,0,0,0,0,10806.68674549064,120.13729977116704,12.48,32.4,1.7875394210198994,2.3658782692661795,1,0,0,9.747945205479452,1.846543001686341,OAK_Entire home/apt
85,-1.0,0.0,0.0,1.0,1.0,1.0,37.8415,-122.20878,6,2.0,3.0,3.0,45,300,20,4.75,0.0,1.1891366487,13.9166666675,-1.0,2,6,0,0,0,0,5077.633429766818,68.40013249420338,15.42,29.333333333333332,2.0617559450186915,2.6670587594313475,1,0,0,11.41095890410959,1.7527010804321728,OAK_Entire home/apt
86,-1.0,-1.0,0.0,1.0,1.0,1.0,37.84021,-122.19898,6,3.0,4.0,6.0,5,14,1,4.0,0.0,1.1891366487,13.9166666675,-1.0,2,3,0,0,0,0,5077.633429766818,68.40013249420338,11.7,44.333333333333336,2.1385989612654788,2.663820784113468,1,0,0,11.126027397260271,0.0898793400640236,OAK_Entire home/apt
87,-1.0,-1.0,0.0,2.0,1.0,1.0,37.77995,-122.16511,1,1.0,1.0,1.0,7,365,9,4.78,0.0,3.4506868968,9.125000001,-1.0,3,6,0,1,0,0,2188.5497658461445,58.79237288135594,11.68,65.0,2.370640586091989,2.2136027272799974,1,0,0,10.10958904109589,0.8902439024390244,OAK_Private room
88,1.0,0.75,0.0,1.0,1.0,1.0,37.83851,-122.28357,2,1.0,1.0,1.0,5,180,4,5.0,0.0,0.1576608462,15.25,0.0,4,5,0,0,0,0,17455.189835204626,62.13662790697674,13.24,55.0,1.5996203393692867,2.7174956556855956,1,0,0,3.0,1.3333333333333333,OAK_Entire home/apt
89,1.0,-1.0,0.0,2.0,1.0,1.0,37.81003,-122.21205,1,1.0,1.0,1.0,24,1125,74,4.81,0.0,0.2426275566,14.083333335,2.0,4,5,0,1,0,0,10806.68674549064,120.13729977116704,11.62,61.0,1.8292747188985472,2.387523682353396,1,0,0,11.391780821917807,6.495911495911496,OAK_Private room
90,1.0,1.0,0.0,2.0,1.0,1.0,37.804893,-122.224312,2,0.0,0.0,0.0,1,28,197,4.8,0.0,0.3904181424,15.708333335,1.0,4,5,0,1,0,0,12289.387912419925,95.66486035848273,11.59,49.5,1.6320875442541145,2.3311887305298864,1,0,0,11.312328767123288,17.414628239283118,OAK_Private room
91,1.0,0.94,1.0,1.0,1.0,1.0,37.811,-122.21906,3,1.0,0.0,2.0,2,7,526,4.92,0.0,0.3091417758,14.555555556666668,0.0,4,5,0,0,0,0,11871.575721213152,149.86376021798364,12.45,33.333333333333336,1.7289144354581745,2.3947453862681076,1,0,0,11.512328767123288,45.69014754878629,OAK_Entire home/apt
92,-1.0,-1.0,0.0,1.0,1.0,1.0,37.84535,-122.24218,4,0.0,3.0,0.0,4,1125,9,4.78,1.0,0.7015541247,13.611111113333331,-1.0,3,3,0,0,0,0,5003.177768359574,57.83475783475783,14.46,46.5,1.8277063030464096,2.702089510243019,1,0,0,10.342465753424657,0.8701986754966888,OAK_Entire home/apt
93,1.0,0.97,1.0,2.0,1.0,1.0,37.80296,-122.20793,6,0.0,3.0,0.0,7,28,26,5.0,0.0,0.6500869947,13.266666666,0.0,3,6,0,0,0,0,8795.745871887075,86.39384400139909,12.93,18.0,1.8803230179485233,2.3165664899353393,1,0,0,11.38082191780822,2.2845450168512276,OAK_Entire home/apt
94,1.0,0.97,1.0,2.0,1.0,1.0,37.80233,-122.21015,3,1.0,0.0,2.0,2,1125,303,4.96,0.0,0.6500869947,13.266666666,0.0,4,4,0,0,0,1,8795.745871887075,86.39384400139909,12.93,48.0,1.8505271937374197,2.307469619368895,1,0,0,11.33972602739726,26.720222275912057,OAK_Entire home/apt
95,0.94,0.99,1.0,15.0,1.0,1.0,37.83,-122.27602,2,1.0,1.0,1.0,2,1125,267,4.79,0.0,0.4436748459,14.805555556666668,0.0,4,5,0,0,0,0,14715.731712839932,136.77439117782205,13.01,39.5,1.3566305243372614,2.6401011660307736,1,0,0,11.435616438356163,23.348107331097268,OAK_Entire home/apt
96,0.92,0.68,1.0,1.0,1.0,0.0,37.82143,-122.25085,1,1.0,1.0,1.0,1,1125,345,4.97,0.0,0.1416932946,13.16666667,2.0,3,4,0,1,0,0,21059.57101515515,176.27345844504023,11.57,90.0,1.2819858068037258,2.5203232931514803,1,0,0,11.391780821917807,30.284992784992788,OAK_Private room
97,1.0,0.14,0.0,1.0,1.0,1.0,37.81461,-122.23442,6,2.5,3.0,3.0,3,90,9,5.0,0.0,0.2519951148,16.166666665,1.0,4,7,0,0,0,0,15857.450265143,208.45845845845844,11.38,79.16666666666667,1.486429542215728,2.4366097061110223,1,0,0,10.150684931506849,0.8866396761133604,OAK_Entire home/apt
98,1.0,1.0,1.0,1.0,1.0,1.0,37.8488,-122.25746,8,1.0,2.0,4.0,1,29,293,4.81,0.0,0.2765008818,17.61111111,0.0,3,6,0,0,0,0,15895.066848933284,76.45051194539249,13.25,25.5,1.8059061803245884,2.7426746973029905,1,0,0,11.208219178082192,26.14153018821804,OAK_Entire home/apt
99,1.0,0.92,0.0,1.0,1.0,1.0,37.84637,-122.24409,1,1.0,0.0,1.0,5,30,96,4.88,0.0,0.7015541247,13.611111113333331,2.0,2,3,0,0,0,0,5003.177768359574,57.83475783475783,12.96,85.0,1.8311036582901303,2.711157871036602,1,0,0,11.295890410958904,8.49866601988843,OAK_Entire home/apt
100,-1.0,0.0,0.0,1.0,1.0,1.0,37.77329,-122.19074,2,1.0,1.0,1.0,2,90,241,4.71,0.0,0.3530046663,13.916666665,-1.0,4,4,0,1,0,0,12070.66196790385,96.69091762497068,12.58,15.0,2.182064777184352,1.9945030596586188,1,0,0,11.169863013698633,21.575913662006375,OAK_Private room
101,1.0,1.0,1.0,1.0,1.0,1.0,37.81194,-122.23972,2,1.0,1.0,1.0,5,28,332,4.98,0.0,0.485142372,14.199999998,0.0,4,4,0,0,0,0,9174.626371328372,50.5504381037969,11.33,70.0,1.3574100084642389,2.416334213265359,1,0,0,11.224657534246576,29.57773980961679,OAK_Entire home/apt
